Title,Company,Location,Salary,Job Type,Date Posted,Summary,Job Link
Primary Healthcare Providers,Germiny,Lagos,,Full-time,EmployerActive 5 days ago,* Simplified technology: Connect with patients seamlessly through our Geolocation and Maps platform and user-friendly app.,https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=7204fa14b1c0d08b
Dentist,One and Only Health Clinic,Lagos,"₦300,000 a month",Full-time,EmployerActive 6 days ago,"As a Dentist at our newly opening dental clinic, you will have the opportunity to deliver exceptional dental care and services to our patients.",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=1347f2e9ab3088b2
Dental Assistant,StreSERT Services Limited (Third Party...,Lagos,,Full-time,EmployerActive 2 days ago,"Anticipate and assist dentist’s needs.
Responsible for assisting the dentist in the clinical treatment of patients.
Set up treatment rooms for procedures.",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=39f112d9bd4d1708
Dentist,StreSERT Services Limited (Third Party...,Lagos,,Full-time,EmployerActive 2 days ago,"The dentist will be responsible for providing a range of dental procedures (e.g. diagnose and provide treatment).
Provide direct dental care to Clinic patients.",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=b545d82ccf9eb190
COMMUNITY PHARMACIST,Work In Nigeria Recruitment Agency,Lagos,"₦200,000 a month",Full-time,PostedPosted 14 days ago,"Compounds and dispense medications as prescribed by doctors and dentists by calculating, weighing, measuring, and mixing ingredients, or overseeing these…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=b5ef2557ff0f92f2
Dental Therapist Role(Victoria Island),Lopterra Services,Lagos,"₦120,000 - ₦150,000 a month",Full-time,EmployerActive 4 days ago,"Collaborate with dentists and other dental professionals to ensure comprehensive patient care.
They are seeking a dedicated Dental Therapist to join their team,…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=97423ac449f2e9f6
Dentist,Shine On Dental Ltd,Lagos,,Full-time,PostedPosted 30+ days ago,"Tooth Extraction, Crown, Root canal therapy, Patient examination, Fillings, etc.
Candidates must possess a relevant degree, proper license, and excellent…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=702b55fbc8ffe72c
Dental Lab Technician,StreSERT Services Limited (Third Party...,Lagos,,Full-time,EmployerActive 2 days ago,"Builds and shapes wax teeth using small hand instruments and with information from observations or dentists’ specifications.
Good vision and color sense.",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=848e400f932f0150
Dentist,Ferdie Marie Solutions,Ibadan,,Full-time,PostedPosted 30+ days ago,"Ibadan & Oyo State Full Time.
Healthcare NGN 250,000 - 400,000 Plus Commission.
Providing dental care and services at SS Dental Clinic.",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=1ff40de7d5dd1796
Stabilization Centre Doctor - Yola,International Rescue Committee,Nigeria,,,PostedPosted 20 days ago,"Active in public health, education, livelihoods, women's empowerment, youth development, and protection and promotion of rights, IRC assists people from harm to…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=0409669933c1f39c
Technical Support (Dental Clinic),Ferdie Marie Solutions,Lagos,,Full-time,PostedPosted 30+ days ago,"Work closely with dentists, hygienists, and administrative staff to address technical needs.
Our dental clinic, dedicated to delivering exceptional oral…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=0b4c8fef6740de26
Part-time Dentist(Lagos),Lopterra Services,Lagos,"₦100,000 - ₦120,000 a month",Full-time,EmployerActive 3 days ago,"Work schedule:* 3 days per week with alternating Saturdays.
As a Dentist, you will be responsible for providing exceptional dental care to patients while…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=6e0a3f014931d7d4
"Dental Therapist(Tech savvy, Victoria Island)",Lopterra Services,Lagos,"₦120,000 - ₦150,000 a month",Full-time,EmployerActive 4 days ago,"Collaborate with dentists and other dental professionals to ensure comprehensive patient care.
They are seeking a dedicated Dental Therapist to join their team,…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=4eed5440da2597b6
SUPERINTENDENT PHARMACIST,Work In Nigeria Recruitment Agency,Lagos,"₦200,000 a month",Full-time,EmployerActive 10 days ago,"Compounds and dispense medications as prescribed by doctors and dentists by calculating, weighing, measuring, and mixing ingredients, or overseeing these…",https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=5e37677007d0fbbc
Primary Healthcare Providers (Dentists),Germiny,Lagos,,Part-time,EmployerActive 5 days ago,* Simplified technology: Connect with patients seamlessly through our Geolocation and Maps platform and user-friendly app.,https://ng.indeed.com/jobs?q=Dentist+Jobs&l=&from=searchOnHP&vjk=d4757d8b555c6883
